user_name, screen_name, created_at, time_integer, reply_num, retweet_num, favorite_num, content 
@golamsarwarbd, Sarwar, 4h, 2020-02-02T17:46:30.000Z, 24, 207, 799, Always by your side! A police officer in Wuhan carried a 68-year-old man who is suspected of having #coronavirus on his back and took him to the hospital. In this war of silence, someone is there to help. Keep on fighting, Wuhan! 
@K_Life88, K-Life, 5h, 2020-02-02T16:44:00.000Z, 3, 164, 331, #BIGBANG Chinese fandom have gathered fundraising for Wuhan, total 22803.03¥ ($3,285 USD) was donated  
@majorgauravarya, Major Gaurav Arya (Retd), 5h, 2020-02-02T15:56:02.000Z, 212, 1K, 5K, Just imagine if a Pakistani General’s son was stuck in China. The Pakistani Ambassador to China would have been in Wuhan and the Pakistan Air Force would have evacuated the VIP in the blink of an eye.   Sad. 
user_name, screen_name, created_at, time_integer, reply_num, retweet_num, favorite_num, content 
@QuickTake, QuickTake by Bloomberg, 5h, 2020-02-02T16:18:46.000Z, 30, 204, 331, WATCH: Drones capture the 10-day-long construction of a new hospital in #Wuhan, China built to help deal with the influx of #coronavirus patients #新型肺炎 
@freezerohedge, freezerohedge, 5h, 2020-02-02T16:23:38.000Z, 32, 115, 376, China sends 14,000 military medical staff to the Wuhan hospital region 
@TruthWi60348276, Truth Wins, 42m, 2020-02-02T21:14:39.000Z, 6, 28, 38, The old lady in the video just died of #WuhanCoronavirus Pheumonia.  Her daugher was crying, “There was no hospital that accepted  my mom. She just died without any treatment."  #TruthWins #WuhanVirus #coronavirus #Wuhan #Wuhanoutbreak #WuhanCoronavirusOutbreak #WuhanLockDown 
@PDChina, People's Daily, China, 2h, 2020-02-02T19:00:00.000Z, 42, 70, 328, #Wuhan We are standing with you! (Photo: Xiaochuan Cai) 
@Jkylebass, Kyle Bass, 5h, 2020-02-02T16:11:14.000Z, 20, 124, 486, Now we are supposed to believe that the Wuhan Level 4 Virology lab at the center of the current crisis is simply a civilian lab whose mission is to investigate the world’s most dangerous diseases for the betterment of humanity? This is an affront to any educated person. 3) 
@snh48_today, SNH48 Today, 1h, 2020-02-02T20:54:38.000Z, 1, 5, 29, Show support to #SNH48 Team X member Wang XiaoJia (4th generation) who is a volunteer in her native city of Changsha helping delivering temperature checks to citizens and police as part of the Wuhan coronavirus prevention efforts 
@SCMPNews, SCMP News, 2h, 2020-02-02T19:35:00.000Z, 8, 51, 60, As Wuhan's hospitals reach breaking point amid the coronavirus outbreak, some infected residents are struggling to find the care they need. 
@RT_com, RT, 2h, 2020-02-02T19:40:00.000Z, 86, 409, 1.2K, #Wuhan hospital workers sing to the #coronavirus patients to keep their spirit up 
@IsChinar, Harry Chen PhD, 30m, 2020-02-02T21:27:10.000Z, 13, 32, 36, Start of work ~ Another pneumonia outbreak in Wuhan sounds alarm  #coronavirus #CoronavirusOutbreak #CoronaVirusCanada 
@arslan_hidayat, Arslan Hidayat, 5h, 2020-02-02T16:46:57.000Z, 8, 48, 60, Police officers with semi-automatic rifles in the quarantine zone in Wuhan, China.  #coronavirus  Via: 'Newzit' Youtube Channel 
@Protect_Wldlife, PROTECT ALL WILDLIFE, 28m, 2020-02-02T21:29:08.000Z, 16, 54, 52, Outrageous menu from Wuhan’s market shows live deer, peacocks, wolf pups!!!!  Reports are pointing to this leading to the coronavirus outbreak and has led to a lockdown in Wuhan to contain the virus . https://mothership.sg/2020/01/wild-animal-wuhan-market/… 
@coronavcharts, Coronavirus Charts , 17m, 2020-02-02T21:40:20.000Z, 11, 7, 64, The #Coronavirus has prompted an emergency hospital to be built in Wuhan and was completed in under 10 days 
@nytimes, The New York Times, 1h, 2020-02-02T20:30:10.000Z, 75, 387, 533, The Wuhan coronavirus spreading from China is now likely to become a pandemic that circles the globe, according to experts. But scientists do not yet know how lethal the new coronavirus is. 
@Postsubman, Postsubman, 5h, 2020-02-02T16:50:34.000Z, 19, 71, 97, - Corona virus evacuees sprayed with disinfectant as they arrive at quarantine in Indonesia from Wuhan. 
@BasedPoland, BasedPoland, 3h, 2020-02-02T18:30:00.000Z, 32, 544, 971, A man describes what he saw in Hospital number 5 in #Wuhan  Bodies everywhere & people dying in their hospital beds  Reports are coming in from across the world, stating that China is underreporting the number of cases  It doesn't look good. Travel from China needs to be stopped 
@Echinanews, China News 中国新闻网, 4h, 2020-02-02T17:46:00.000Z, 9, 56, 159, China has built a makeshift Huoshenshan hospital in 10 days to battle against the novel #coronavirus outbreak in Wuhan, central China's Hubei Province. A total of 1,400 medical staff from the armed forces are tasked with treating patients in the hospital starting from Monday. 
@TruthWi60348276, Truth Wins, 2h, 2020-02-02T19:02:54.000Z, 4, 18, 24, The Wuhan epidemic is irremediable.  Among the people, resentment was like a lid of pressure cooker and the pressure became greater. In the video the authorities dispatch a large number of police and troops to keep the stability in Wenzhou (a city in ZheJiang,China) ! #WuhanVirus 
@ReidZura, Reid, 1h, 2020-02-02T20:04:43.000Z, 4, 4, 29, Hold up! China already built an entire new hospital in #Wuhan for the people with Coronavirus? While America charges me $200 just for sneezing in public? 
@gadget112, nikolas, 42m, 2020-02-02T21:15:28.000Z, 3, 12, 15, #Coronavirus why is Wuhan Biotech Lab’s? Oddly Similar to a the ‘Umbrella Corporation’ Logo from Resident Evil 
@CDCgov, CDC, 2h, 2020-02-02T19:20:00.000Z, 20, 185, 232, #2019nCoV is a virus identified as the cause of the respiratory #outbreak first detected in Wuhan, China. The virus is not spreading in the US, but you can help prevent the spread of respiratory illness by following everyday healthy habits. https://bit.ly/37Ay6Cm 
@balajis, Balaji S. Srinivasan, 2h, 2020-02-02T19:52:58.000Z, 20, 67, 145, This video purports to be from one of the new hospitals China has built in Wuhan for coronavirus patients.  If real, gives a sense of the severity. One way doors, food via a tray, probably negative pressure like a BSL-4.  A maximum security prison for containment of this disease. 
@ABCWorldNews, World News Tonight, 1h, 2020-02-02T20:10:10.000Z, 9, 41, 81, NEW: Timelapse video from Chinese state media shows a 1,000-bed hospital being constructed in Wuhan, China, the epicenter of the deadly coronavirus outbreak, with reports saying the hospital was completed in just 10 days. https://abcn.ws/3b6AOSn 
@2019_wuhan_nCoV, Corona virus (2019-nCoV-) watcher, 27m, 2020-02-02T21:30:11.000Z, 6, 2, 10, UPDATE 02-02-2020  EUROPE:   Today only Germany reported new cases of the #coronavirus:  Germany: 10 (+3)  France: 6 (-)  United Kingdom: 2  (-) Italy: 2 (-)  Sweden: 1 (-)  Spain: 1 (-)  Finland: 1 (-)   Total: 23 (+3)  (+/- vs last update) 
@TruthWi60348276, Truth Wins, 1h, 2020-02-02T20:28:52.000Z, 7, 18, 26, A family possibly infected by #WuhanCoronavirus  are locked in their house by the local police and are not allowed to get out. They are not prisoners. Why are they treated like prisoners?   #WuhanVirus #coronavirus #Wuhan #TruthWins #WuhanCoronavirusOutbreak 
@xabioye, xabi sheikh, 4h, 2020-02-02T17:08:18.000Z, 4, 10, 30, I know its hard time for Pakistani Students who surviving in Wuhan but we must Follow the the teachings of Ap S.A.W.W   #Pakistanistudents 
